market,stock_no,stock_name,date,strategy,reason,score,score_label,score_reasons,volume_ratio,ma20_slope_pct,ma60_slope_pct,close,volume,ma5,ma10,ma20,ma60,source,chart_path
TWSE,2440,太空梭,2026-06-08,台積電策略,跌破月線且均線多頭,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、紅K收在當日相對高位、量能健康放大至20日均量1.3x,1.26,0.8,4.92,17.5,2074649,17.970000000000006,17.80999999999997,17.567500000000003,16.19333333333334,data/all_twse/2440_2025-06-01_2026-06-01.csv,
TWSE,2441,超豐,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、近12日首次回測月線區,0.54,22.42,10.27,123.5,9571405,133.60000000000014,132.65000000000003,116.26000000000002,98.88333333333328,data/all_twse/2441_2025-06-01_2026-06-01.csv,
TWSE,2441,超豐,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、近12日首次回測月線區,0.54,22.42,10.27,123.5,9571405,133.60000000000014,132.65000000000003,116.26000000000002,98.88333333333328,data/all_twse/2441_2025-06-01_2026-06-01.csv,
TWSE,2454,聯發科,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.28,24.69,36.61,4070.0,16219464,4352.0,4318.0,3894.25,2609.5833333333335,data/all_twse/2454_2025-06-01_2026-06-01.csv,
TWSE,2454,聯發科,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.28,24.69,36.61,4070.0,16219464,4352.0,4318.0,3894.25,2609.5833333333335,data/all_twse/2454_2025-06-01_2026-06-01.csv,
TWSE,2461,光群雷,2026-06-08,台積電策略,均線糾結後帶量紅K,2,2/5,季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位、爆量至20日均量6.1x，需留意追高、紅K實體夠大,6.14,0.2,0.72,20.1,11609515,18.039999999999985,17.140000000000008,16.6075,16.966666666666654,data/all_twse/2461_2025-06-01_2026-06-01.csv,
TWSE,2461,光群雷,2026-06-08,群聯策略,均線糾結後帶量紅K,2,2/5,季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位、爆量至20日均量6.1x，需留意追高、紅K實體夠大,6.14,0.2,0.72,20.1,11609515,18.039999999999985,17.140000000000008,16.6075,16.966666666666654,data/all_twse/2461_2025-06-01_2026-06-01.csv,
TWSE,2464,盟立,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.09,27.9,33.03,148.5,2224360,176.4,170.24999999999997,147.55,103.64833333333333,data/all_twse/2464_2025-06-01_2026-06-01.csv,
TWSE,2464,盟立,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.09,27.9,33.03,148.5,2224360,176.4,170.24999999999997,147.55,103.64833333333333,data/all_twse/2464_2025-06-01_2026-06-01.csv,
TWSE,2483,百容,2026-06-08,台積電策略,均線糾結後帶量紅K,3,3/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,6.37,8.43,6.82,33.45,10875945,28.119999999999983,26.859999999999996,25.4125,23.056666666666686,data/all_twse/2483_2025-06-01_2026-06-01.csv,
TWSE,2483,百容,2026-06-08,群聯策略,均線糾結後帶量紅K,3,3/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,6.37,8.43,6.82,33.45,10875945,28.119999999999983,26.859999999999996,25.4125,23.056666666666686,data/all_twse/2483_2025-06-01_2026-06-01.csv,
TWSE,2535,達欣工,2026-06-08,台積電策略,均線糾結後帶量紅K,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,1.57,3.69,2.98,85.6,1358195,82.60000000000005,80.05999999999997,77.29000000000002,73.97500000000005,data/all_twse/2535_2025-06-01_2026-06-01.csv,
TWSE,2535,達欣工,2026-06-08,群聯策略,均線糾結後帶量紅K,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,1.57,3.69,2.98,85.6,1358195,82.60000000000005,80.05999999999997,77.29000000000002,73.97500000000005,data/all_twse/2535_2025-06-01_2026-06-01.csv,
TWSE,2547,日勝生,2026-06-08,台積電策略,均線糾結後帶量紅K,5,5/5,回測月線後收盤守住、低點貼近月線，回測位置乾淨、紅K收在當日相對高位、量能健康放大至20日均量1.8x、均線收斂後轉強,1.83,-1.34,-2.54,10.65,5186710,10.236000000000002,10.086999999999996,10.077000000000004,10.508999999999995,data/all_twse/2547_2025-06-01_2026-06-01.csv,
TWSE,2547,日勝生,2026-06-08,群聯策略,均線糾結後帶量紅K,5,5/5,回測月線後收盤守住、低點貼近月線，回測位置乾淨、紅K收在當日相對高位、量能健康放大至20日均量1.8x、均線收斂後轉強,1.83,-1.34,-2.54,10.65,5186710,10.236000000000002,10.086999999999996,10.077000000000004,10.508999999999995,data/all_twse/2547_2025-06-01_2026-06-01.csv,
TWSE,2851,中再保,2026-06-08,群聯策略,周月季線上揚首次回測月線,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在季線上方、近12日首次回測月線區,0.98,7.44,8.32,35.55,3086149,35.55000000000005,35.29999999999998,34.49249999999997,31.730833333333347,data/all_twse/2851_2025-06-01_2026-06-01.csv,
TWSE,3008,大立光,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.16,19.35,13.61,3535.0,2683427,3683.0,3639.5,3352.5,2731.6666666666665,data/all_twse/3008_2025-06-01_2026-06-01.csv,
